,,CD8,HLA-A,CD4,pNRF2,CD20,ER,Keratin 14,Vimentin,PR,E-cadherin,CD31,PDL1,CD45RO,Keratin19,CD3e,IDO1,SMA,CD11c,GranzymeB,Keratin5,CollagenIV,Podoplanin,CD14,FoxP3,ASCT2,CD45,tp63,CD44,HLA-DR,PD1,ERG,b-catenin1,HER2,CD57,Keratin8,CD163,GATA3,S100A4,CD68,HIF1A,Keratin18,FoxA1,LaminB1,CD227,H2AX,PCNA,Keratin17,CPT1A,CyclinD1,CD34,BAK,PARP,Keratin7,Dnmt1,FAP,Glut1,p53,G6PD,CD15,MMP9,Cytokeratin6,CD11b,Ki67,Pan-Cytokeratin,CD66b
all,Immune,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,Stroma,,,,,,,,,,,,,,,,,,,,,,,,,,neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,Myeloid,,,,,,,,,,,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroma,Luminal Epithelial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,,,,,anypos,,,,,,,,,,,,,,,,,,,,,,,,
Stroma,Basal Epithelial,,,,,,,anypos,,,,,,,,,,,,,anypos,,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,,,,,,,
Stroma,Tumor Cells,,,,,,,,,,anypos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,
Tumor Cells,Cycling Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,
Stroma,Endothelial,,,,,,,,,,,anypos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,,,,
Immune,T Cells,pos,,pos,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cells,Cycling T Cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,
Immune,B Cells,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cells,T Cells Memory,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cells,Effector T Cells,,,,,,,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cells,Tregs,,,allpos,,,,,,,,,,,,,,,,,,,,,allpos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cells,T Cells CD4+,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cells,T Cells CD8+,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myeloid,Macrophages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,,
Macrophages,M1 Macrophages,,,,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myeloid,Dendritic Cells,,,,,,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myeloid,Monocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroma,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,,,,,,,,,
Myeloid,Granulocytes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pos,,,,,,pos
Stroma,Telocytes,,,,,,,,pos,,,,,,,,,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
